Article Title,Article Link,Article Text,Article Summary,Article Image
Delhi derailed: Tripura defeat star-studded side in Syed Mushtaq; script history,https://timesofindia.indiatimes.com/sports/cricket/news/delhi-derailed-tripura-defeats-star-studded-side-in-syed-mushtaq-script-history/articleshow/125719065.cms,"Photo/screengrab

ILT20 CEO David White EXCLUSIVE: On Season 4, growth, challenges and IPL link

NEW DELHI: Delhi’s domestic season slipped further on Tuesday as the team lost to Tripura for the first time ever in domestic cricket, suffering a 12-run defeat in the Elite Group D match of the Syed Mushtaq Ali Trophy in Ahmedabad. The setback added to a growing list of results under scrutiny, coming soon after Delhi were beaten by Jammu and Kashmir in the Ranji Trophy Indrajit Debnath held his nerve and defended 20 runs off the last over as Tripura defeated a team filled with IPL players by 12 runs.DDCA officials are expected to face questions about team selection and the choice of support staff, including the appointment of Sarandeep Singh. Delhi now need an unlikely sequence of results to qualify for the Ranji Trophy knock-outs, even if they win their remaining two matches.In the Syed Mushtaq Ali Trophy, Delhi have lost two of their four games, putting them under pressure. Chasing 158, their batting unit struggled on a slow surface and finished at 145 for 8. Mani Shankar Murasingh’s seam bowling and Viki Saha’s off-spin kept Delhi from building any momentum.Murasingh, who has played domestic cricket for around a decade, dismissed Punjab Kings and India A batter Priyansh Arya early in the innings.Before that, he had scored 25 not out off 18 balls, hitting a six and a four in the final over bowled by Ayush Badoni. He later returned figures of 2 for 19 from four overs, including 14 dot balls.Murasingh, referred to by teammates as the ""Ben Stokes of Tripura,"" used slow off-cutters and pace-off variations effectively on a tacky pitch. His bowling troubled Delhi captain Nitish Rana , who scored 45 off 40 balls, along with Ayush Badoni (14 off 13) and Priyansh Arya (8 off 10).Viki Saha dismissed Rana by shortening the length, drawing him out of the crease. The ball turned enough for wicketkeeper Sentu Sarkar to complete the stumping.",Delhi lose to Tripura for the first time ever in domestic cricket. Tripura defeat Delhi by 12 runs in Syed Mushtaq Ali Trophy in Ahmedabad. Delhi need an unlikely sequence of results to qualify for the Ranji Trophy knock-outs.,"https://static.toiimg.com/thumb/msid-125719481,imgsize-68040,width-400,resizemode-4/lkjn-24.jpg"
"After Javokhir Sindarov's World Cup glory, 'closest friend' Bibisara Assaubayeva reveals her own 'unfinished task'",https://timesofindia.indiatimes.com/sports/chess/exclusive-after-javokhir-sindarovs-world-cup-glory-closest-friend-bibisara-assaubayeva-reveals-her-own-unfinished-task/articleshow/125713043.cms,"L-R: Javokhir Sindarov celebrates Chess World Cup win; and Bibisara Assaubayeva

Go Beyond The Boundary with our YouTube channel.

Anish Giri Exclusive: FIDE World Cup in Goa, Candidates 2026 prep, GCL stories, and more

Poll What are your thoughts on the significance of Sindarov's victory at the FIDE World Cup? It inspires young players globally It's just another tournament win It highlights Uzbekistan's chess potential

ALSO READ:

NEW DELHI: It motivates. Watching others climb the podium, lift titles, and make their nations proud — it motivates the next in line.Just last week, Uzbekistan's Javokhir Sindarov rewrote a piece of chess history in Goa, winning the FIDE World Cup and becoming the youngest-ever champion at just 19. His win in the World Cup has also secured him a place in the 2026 Candidates Tournament, with a victory there potentially setting up a blockbuster World Championship showdown against India’s Gukesh Dommaraju.Keeping tabs on Sindarov’s title charge from her couch was Kazakhstan’s Grandmaster (GM) Bibisara Assaubayeva, a two-time World Blitz Champion and the youngest ever to do so.""I followed the tournament from the beginning, and my closest friend won the World Cup. So I'm so happy and very proud of him,"" Bibisara told TimesofIndia.com in an exclusive interaction.“Yes, we talked after the game. He (Sindarov) wrote to me that he won, but I already knew, and I was super happy because I followed the games live... It’s the first big step for Uzbek chess in the main tournaments because before this, they had only won team events.I’m so happy that two Uzbek guys reached the quarterfinals, and one of them just won the tournament.""Bibisara started learning chess at a young age of four from her grandfather, but the real grind began after she became an International Master (IM) in 2020. The pursuit of her GM title stretched longer than she expected, finally ending this year at the Sharjah Masters.""I got my first GM norm when I was 17, I think. Then I earned my second GM norm when I was 19. After that, I played a lot of tournaments where my rating was close to 2500. I had many events where, in the last round, I needed a win or even a draw for my final GM norm, and many times I lost those games. It was really heartbreaking,"" she sighed.Opening up about her final push at Sharjah, she recalled, “I wanted to become a grandmaster earlier, but I’m happy that I finally achieved it this year.""In the last round, I again needed just a draw to claim my final norm. I played against my compatriot from Kazakhstan, Rinat Jumabayev. He’s a grandmaster and the number one player in our country. We played for maybe four hours or more; we were one of the last games to finish in the hall. At some point, I had a worse position, but I managed to hold the draw. And I was super happy that I finally didn’t miss my chance.”With the GM title finally under her belt, the 21-year-old now wants to emulate Sindarov and secure a place in the Women’s Candidates next year.""I won my first world championship (in blitz) at 17 and the second one at 18. I grabbed second place in the rapid section, but now, I prefer to focus on classical chess because I want to first qualify for the Candidates tournament,"" she added.Still, she hasn’t turned her back on the faster formats. Bibisara has confirmed her participation in the upcoming World Women's Rapid and Blitz Championships in Doha.Already a two-time World Blitz Champion, she is more interested in clinching the World Rapid Championship title this year. However, ask her for advice on the faster formats of chess, and she laughs it off: ""Just play fast. I think it's the best advice.""Before heading to Doha, she will compete in the third season of the Global Chess League (GCL), representing the American Gambits. In January 2026, she will move to Tata Steel Chess India in Kolkata, followed by the prestigious Tata Steel Masters in Wijk aan Zee.But amid the busy calendar, her eyes are set firm: “My main goal is to qualify for the Candidates, because there is one last spot from the FIDE Circuit (FIDE Women’s Events 2024-25 series) and I’m the leader now. So I hope I will qualify. That’s my main goal.”",Kazakhstan's Bibisara Assaubayeva is a two-time World Blitz Champion and the youngest ever to do so. She followed Uzbekistan's Javokhir Sindarov's FIDE World Cup win from her couch. She now wants to emulate Sindarov and secure a place in the Women's Candidates next year.,"https://static.toiimg.com/thumb/msid-125713227,imgsize-56120,width-400,resizemode-4/javokhir-sindarov-and-bibisara-assaubayeva.jpg"
"Three T20 hundreds in 16 innings for Vaibhav Suryavanshi, but still not a record — who got there in even fewer innings?",https://timesofindia.indiatimes.com/sports/cricket/news/three-t20-hundreds-in-16-innings-for-vaibhav-suryavanshi-but-still-not-a-record-who-got-there-in-even-fewer-innings/articleshow/125717424.cms,"Vaibhav Suryavanshi celebrates his century during Syed Mustaq Ali Trophy 2025 cricket match between Bihar and Maharashtra, at the Eden Gardens, in Kolkata. (PTI Photo)

A Father's Pride: How RR, Dravid & Vikram Shaped Vaibhav Suryavanshi

Vaibhav Suryavanshi kept his strong run in the Syed Mushtaq Ali Trophy (SMAT) on Tuesday with another significant performance for Bihar. The 14-year-old scored an unbeaten 108 off 61 balls against Maharashtra in an Elite Group B match played at Eden Gardens in Kolkata. His innings included seven fours and seven sixes, and he played through the 20 overs to take Bihar to 176 for 3.By reaching three figures, Suryavanshi became the youngest player in the history of the tournament to hit a hundred. He achieved the record at 14 years and 250 days of age. The hundred also continued his productive year in T20 cricket. Suryavanshi now has three T20 hundreds in 2025, which puts him joint-first among Indian players this year along with Abhishek Sharma. Ayush Mhatre and Ishan Kishan have two hundreds each.Suryavanshi has scored three hundreds in only 16 T20 innings. This puts him third on the list for the fewest innings taken to reach three hundreds in the format. The top two places are held jointly by Ian Harvey of Australia and Darius Visser of Samoa, who both reached three T20 hundreds in 11 innings.Meanwhile, Bihar’s total did not prove enough in the SMAT match. Maharashtra captain Prithvi Shaw led the chase with a 30-ball 66 at the top of the order. Shaw is aiming to draw the attention of IPL teams after going unsold in the IPL 2025 auction, and his quick start gave Maharashtra early control. The team went on to reach the target with three wickets in hand and one over left.The result gave Maharashtra their second win from four matches in the group. Bihar continued to look for their first win of the season after another defeat.",Vaibhav Suryavanshi becomes youngest player in the history of the tournament to hit a hundred. The 14-year-old scored an unbeaten 108 off 61 balls against Maharashtra in an Elite Group B match played at Eden Gardens in Kolkata.,"https://static.toiimg.com/thumb/msid-125717670,imgsize-37332,width-400,resizemode-4/lkjn-23.jpg"
'A big thank you to Indian and Pakistani armed forces': Former Sri Lanka cricketer Angelo Mathews,https://timesofindia.indiatimes.com/sports/cricket/news/a-big-thank-you-to-indian-and-pakistani-armed-forces-former-sri-lanka-cricketer-angelo-mathews/articleshow/125697854.cms,"Phptp/Agencies

NEW DELHI: As Sri Lanka continues to deal with heavy flooding and destruction caused by Cyclone Ditwah, former Sri Lanka cricketer Angelo Mathews has acknowledged the support coming from India, Pakistan and other countries. Mathews said the rescue efforts by armed forces working in affected areas had made a major difference as the country works through a severe crisis.Mathews posted on X thanking those involved in the operations.""A special thanks to all our armed forces for risking their lives to save all Sri Lankans who are affected and strangled,"" Mathews said. He added, ""Also a big thank you to Indian and Pakistani and all other armed forces trying to save lives in Sri Lanka risking their lives! All Sri Lankans truly appreciate your efforts.""Cyclone Ditwah has led to flooding, loss of life and transport disruptions. India began Operation Sagar Bandhu on November 28 to provide search and rescue support and humanitarian aid to Sri Lanka. The assistance has been delivered through both sea and air using Indian Air Force aircraft and naval vessels.According to the government, 53 tonnes of relief material have been sent since November 28, and more than 2,000 stranded Indians have returned from Sri Lanka.The ministry of external affairs said on Monday, ""NDRF teams continue to carry out search and rescue operations in various severely affected and isolated regions of Sri Lanka, assisting flood-hit families and ensuring their immediate safety. Over 150 persons have been rescued and assisted in these combined operations, which are continuing.""The MEA said that, with support from the Sri Lanka Air Force, Chetak helicopters from INS Vikrant and MI-17 helicopters of the IAF carried out missions to airlift stranded people, including pregnant women, infants and those injured.""Rescued persons included nationals of Sri Lanka, India, Germany, Slovenia, United Kingdom, South Africa, Poland, Belarus, Iran, Australia, Pakistan, and Bangladesh,"" the MEA said.As of Sunday, Sri Lanka has reported 334 deaths and 370 missing due to floods and landslides linked to extreme weather since November 16.Mathews retired from Test cricket in June this year.","Sri Lanka continues to deal with heavy flooding and destruction caused by Cyclone Ditwah. Former cricketer Angelo Mathews has acknowledged the support coming from India, Pakistan and other countries. India began Operation Sagar Bandhu on November 28 to provide search and rescue support and humanitarian aid to Sri Lanka.","https://static.toiimg.com/thumb/msid-125698005,imgsize-50852,width-400,resizemode-4/lkjn-19.jpg"
'Emotions run high': 2011 World Cup winner’s blunt reminder to Gautam Gambhir as criticism mounts,https://timesofindia.indiatimes.com/sports/cricket/india-vs-south-africa/emotions-run-high-2011-world-cup-winners-blunt-reminder-to-gautam-gambhir-as-criticism-mounts/articleshow/125707616.cms,"India's head coach Gautam Gambhir during a training session (PTI Photo/Kamal Kishore)

Still have doubts? Virat Kohli blows World Cup trumpet with another masterclass

India may have drawn first blood in the Ranchi ODI against South Africa, but head coach Gautam Gambhir continues to remain under a cloud of criticism following the recent Test series debacle. India were blanked 2-0 by the Proteas, adding to an already tense atmosphere around Gambhir’s leadership. Since taking charge, he has overseen two home Test series defeats, first against New Zealand and now against South Africa, prompting fans to vent their frustration at the former opener.The anger reached a flashpoint after the crushing 408-run defeat in Guwahati, where sections of the crowd began chanting ‘Gambhir Aye Haye’. The situation escalated so rapidly that batting coach Sitanshu Kotak and fast bowler Mohammed Siraj had to step in to pacify the spectators. Adding fuel to the fire, fans continue to debate Gambhir’s equations with Virat Kohli and Rohit Sharma , and many have even begun speculating about the ODI futures of both senior players.Amid this growing unrest, former India fast bowler Zaheer Khan , who shared the 2011 World Cup dressing room with Gambhir, urged the coach to toughen up and face the criticism calmly.“Emotions run high. When you’ve been winning consistently, expectations rise. Accountability will always follow,” Zaheer told Cricbuzz. He added that the role naturally invites scrutiny and that Gambhir must learn to remain balanced and handle public backlash with resilience.“You’ve got to be thick-skinned to deal with these kinds of criticism. It comes with the passion and expectations surrounding the team,” he said.India’s recent form under Gambhir has not helped his cause. The team lost an ODI series to Sri Lanka last year, followed by a surprise whitewash in New Zealand. Overall, India have lost five of their last seven Tests with Gambhir at the helm.Zaheer further stressed that Gambhir must be more open about his vision, saying that supporters appreciate honesty and clarity regarding selection choices and long-term plans.Gambhir has been criticised for fielding too many all-rounders in the Test XI at the cost of specialists. He also drew sharp reactions for preparing a rank turner in Kolkata against South Africa, despite India previously suffering a 0-3 defeat on similar surfaces in New Zealand.Zaheer suggested that communication is key. “Disappointment comes because everyone knows the team can perform better. It’s a phase, and emotions naturally rise. That’s why the team management needs to engage with fans openly. They understand more than people think,” he said.He concluded by saying that as long as the team sticks to a process aimed at sustainable success, transparency will help ease frustration among supporters. “If the team is clearer and more vocal about its thought process, the fans will understand where they’re coming from. It’s important not to get carried away,” Zaheer added.",Gautam Gambhir has been criticised for fielding too many all-rounders in the Test XI at the cost of specialists. Former India fast bowler Zaheer Khan has urged the coach to toughen up and face the criticism calmly. India drew first blood in the Ranchi ODI against South Africa.,"https://static.toiimg.com/thumb/msid-125707603,imgsize-139946,width-400,resizemode-4/ind-vs-sa-1st-odi-training-session.jpg"
IND vs SA: Arshdeep Singh reveals what Rohit Sharma said during his animated reaction after Virat Kohli's ton - Watch,https://timesofindia.indiatimes.com/sports/cricket/india-vs-south-africa/ind-vs-sa-arshdeep-singh-reveals-what-rohit-sharma-said-during-his-animated-reaction-after-virat-kohlis-ton-watch/articleshow/125698787.cms,"Arshdeep Singh reveals what Rohit Sharma said during his animated reaction

Virat Kohli, Rohit Sharma, other members of Team India leave from Ranchi after the first ODI

In the first ODI match against South Africa in Ranchi, Virat Kohli achieved his 52nd ODI century, scoring 135 runs off 120 balls with 11 fours and 7 sixes. The innings helped India set a target of 349 runs, featuring a significant 136-run partnership for the second wicket between Kohli and Rohit Sharma The partnership between the two veteran cricketers showcased their classic batting style. While Rohit missed his century, Kohli reached the three-figure mark, contributing to the team's success.Kohli's 83rd international century, achieved with a boundary off Marco Jansen, sparked emotional celebrations. Rohit Sharma, watching from the dressing room with Arshdeep Singh and Harshit Rana, displayed an animated reaction.Arshdeep Singh later addressed the curiosity about Rohit's reaction in a video shared on Snapchat, which was subsequently reposted by his IPL franchise Punjab Kings.""I have been getting several messages on what Rohit bhai said after Virat bhai's century. So, I am telling what he said. He said, 'Neeli pari, laal pari, kamre mey band, mujhe Nadia pasand,'"" said Arshdeep Singh.Following Rohit and Virat's retirement from Test cricket earlier this year, discussions have emerged about their potential participation in the 2027 World Cup.Reports suggest they might be asked to participate in the Vijay Hazare Trophy to maintain their competitive form.Additional reports indicate that BCCI officials are planning meetings with head coach Gautam Gambhir and chairman of selectors Ajit Agarkar to discuss the future of both players.In the match result, India secured a 17-run victory over South Africa, who were dismissed for 332 runs, with Kuldeep Yadav claiming four wickets. The match featured a significant batting display from Kohli, who continued to demonstrate his prowess in the ODI format.The partnership between Rohit and Kohli highlighted their continued importance to Indian cricket, even as discussions about their future in the sport continue. The victory marked another successful outing for the Indian team, with both batting and bowling departments contributing to the win.Kuldeep Yadav's four-wicket haul proved crucial in defending the total and securing India's victory in the first match of the three-game series.","India beat South Africa by 17 runs in the first ODI match in Ranchi. Virat Kohli scored 135 runs off 120 balls with 11 fours and 7 sixes. Rohit Sharma missed his century, but displayed an animated reaction. Arshdeep Singh reveals what Rohit said during his reaction.","https://static.toiimg.com/thumb/msid-125699014,imgsize-28030,width-400,resizemode-4/arshdeep-singh-reveals-what-rohit-sharma-said-during-his-animated-reaction.jpg"
"IPL Auction Frenzy: 1,355 players register for 77 slots ahead of December 16 event in Abu Dhabi",https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-auction-frenzy-1355-players-register-for-77-slots-ahead-of-december-16-event-in-abu-dhabi/articleshow/125707722.cms,"Go Beyond The Boundary with our YouTube channel.

WPL Auction 2026: Full Breakdown of Every Major Number

More than 1,300 players have registered for the Indian Premier League IPL ) mini-auction, turning the December 16 event in Abu Dhabi into one of the most competitive bidding days. According to a Cricbuzz report, a staggering 1,355 players feature on the 13-page auction register, reflecting a massive surge in both domestic and overseas aspirants eager to secure IPL contracts.From India, several well-known names such as Mayank Agarwal, KS Bharat, Rahul Chahar, Ravi Bishnoi, Akash Deep, Deepak Hooda, Venkatesh Iyer , Sarfaraz Khan, Shivam Mavi, Navdeep Saini, Chetan Sakariya, Kuldeep Sen, Prithvi Shaw, Rahul Tripathi, Sandeep Warrier and Umesh Yadav have thrown their hats into the ring. Only two Indians — Ravi Bishnoi and Venkatesh Iyer — have entered the auction with the highest base price of Rs 2 crore.The overseas aspirants are equally star-studded. Australia’s Cameron Green, Steve Smith, Matthew Short have registered. England’s Jonny Bairstow, Jamie Smith, New Zealand’s Rachin Ravindra, and Sri Lankan stars Wanindu Hasaranga and Matheesha Pathirana headline the long list of overseas entries. In all, 43 overseas players have set their base price at Rs 2 crore.The diversity of the list stands out, with players from 14 countries, including rare entries from Malaysia and the USA.Among them is India-born Malaysian all-rounder Virandeep Singh, listed at a base price of Rs 30 lakh.Following the November 15 retention deadline, the 10 IPL teams collectively hold Rs 237.55 crore to spend. Kolkata Knight Riders lead with a wallet of Rs 64.30 crore, followed by Chennai Super Kings with Rs 43.40 crore. A total of 77 slots, including 31 overseas places, will be up for grabs, ensuring a highly competitive and closely watched auction day.","More than 1,300 players have registered for the Indian Premier League IPL ) mini-auction, turning the December 16 event in Abu Dhabi into one of the most competitive bidding days. A total of 77 slots, including 31 overseas places, will be up for grabs, ensuring a highly competitive and closely watched auction day.","https://static.toiimg.com/thumb/msid-125707766,imgsize-27922,width-400,resizemode-4/ipl-mini-auction.jpg"
"'I'd take the blame first': Ravi Shastri blasts India's Test slide under Gautam Gambhir, says players must own failures too",https://timesofindia.indiatimes.com/sports/cricket/news/id-take-the-blame-first-ravi-shastri-blasts-indias-test-slide-under-gautam-gambhir-says-players-must-own-failures-too/articleshow/125711212.cms,"Ravi Shastri and Gautam Gambhir

Go Beyond The Boundary with our YouTube channel.

Still have doubts? Virat Kohli blows World Cup trumpet with another masterclass

Poll Who do you think is primarily responsible for India's decline in Test cricket? Players Team Management Both equally External Factors

NEW DELHi: Former head coach Ravi Shastri has delivered one of his most pointed critiques yet of India's dramatic fall in Test cricket, declaring that both players and the team management must take responsibility for the decline. The former India head coach, who oversaw the team's successful run alongside Virat Kohli, said he is deeply hurt by the sight of a side that once dominated home and away now suffering whitewashes against New Zealand and South Africa at home.Shastri, speaking to Prabhat Khabar in a podcast teaser, was visibly frustrated while recalling India's collapse in the Guwahati Test. “You tell me. What happened in Guwahati – from 100/1, you skip to 130/7? This team is not that bad either. They have this much talent at least. The players should take some responsibility too. You have played spin since you started playing cricket,” he said.Asked whether he was defending new head coach Gautam Gambhir , Shastri was blunt. “I'm not protecting [him]. One hundred per cent he is responsible too. When am I saying anything otherwise?” he said.Then came his most striking comment. “Agar yeh mere saath hota, main pehla responsibility leta (Had this happened with me, I would have been the first one to take responsibility). But then, I wouldn't have spared the players either in the team meeting.”The frustration stems from high standards Shastri's own tenure had set. Between 2017 and 2021, India became the world's best travelling Test side, winning two historic series in Australia, staying No. 1 for 42 months and losing only two matches at home under Kohli.While Rahul Dravid revived the team after a slow start, leading India to home series wins and a second WTC final, that trajectory has stalled under Gambhir. India have managed just two Test series victories in 14 months — against Bangladesh and West Indies — while suffering heavy defeats in Australia and a draw in England.",Ravi Shastri says both players and team management must take responsibility for India's dramatic fall in Test cricket. The former India head coach says he is deeply hurt by the sight of a side that once dominated home and away now suffering whitewashes against New Zealand and South Africa at home. India have managed just two Test series victories in 14 months.,"https://static.toiimg.com/thumb/msid-125711280,imgsize-40106,width-400,resizemode-4/shastri-gambhir.jpg"
These Guys Deserve Better! Ex-selectors say Rohit Sharma and Virat Kohli must stop being put on trial,https://timesofindia.indiatimes.com/sports/cricket/india-vs-south-africa/these-guys-deserve-better-ex-selectors-say-rohit-sharma-and-virat-kohli-must-stop-being-put-on-trial/articleshow/125708644.cms,"Virat Kohli and Rohit Sharma (AP Photo)

It's time

Indian cricket

stopped putting Rohit and Virat continuously on trial, feel former selectors and experts. They are still capable of being top performers, as they showed in the first ODI against South Africa in Ranchi.

Still have doubts? Virat Kohli blows World Cup trumpet with another masterclass

Go Beyond The Boundary with our YouTube channel.","Virat Kohli and Rohit Sharma are still capable of being top performers, say experts. Indian cricket needs to stop putting Rohit and Virat on trial, say former selectors and experts. Kohli starred in the first ODI against South Africa in Ranchi.","https://static.toiimg.com/thumb/msid-125708669,imgsize-49328,width-400,resizemode-4/virat-kohli-and-rohit-sharma.jpg"
"Tilak Varma: Inspired by Virat Kohli's work ethic, sharpened by Gautam Gambhir's tough love",https://timesofindia.indiatimes.com/sports/cricket/india-vs-south-africa/tilak-varma-inspired-by-virat-kohlis-work-ethic-sharpened-by-gautam-gambhirs-tough-love/articleshow/125719617.cms,"Tilak Varma said the longer formats suit him more and reflected on the influence experienced teammates have had on his growth. (Getty Images)

Go Beyond The Boundary with our YouTube channel.

Virat Kohli, Rohit Sharma, other members of Team India leave from Ranchi after the first ODI

NEW DELHI: After India’s convincing win in Ranchi, young batter Tilak Varma opened up about adapting to ODI and Test cricket, crediting senior players Rohit Sharma Virat Kohli , and head coach Gautam Gambhir for their role in shaping his mindset and development.India edged past South Africa by 17 runs in a tightly contested first ODI at the JSCA International Stadium Complex, taking a 1-0 lead in the three-match series. The hosts posted a formidable 398/8 after Virat Kohli’s century and half-centuries from Rohit Sharma and KL Rahul, before bowling out South Africa for 332 despite late resistance from Matthew Breetzke (72 off 80), Marco Jansen (70 off 39), and Corbin Bosch (67 off 51).Speaking on JioStar’s Follow The Blues, Varma said the longer formats suit him more and reflected on the influence experienced teammates have had on his growth.“ODI and Test cricket feel like my game because I enjoy the longer format. I’m really excited to play more ODIs as well. When Rohit bhai and Virat bhai are in the same team, the confidence level is completely different. They have so much experience and knowledge, and I try to take as much advice from them as possible to get better.I speak to Virat bhai a lot, especially about fitness and running between the wickets. His intensity is incredible. I love running too, and I feel I’m pretty quick, so I really enjoy that part of the game. If we play together, running between the wickets with him is something I look forward to.”Varma also highlighted Gambhir’s role in helping him stay grounded and competitive.“Gautam sir always gives me confidence. He tells me that if you have the skill, you can play all formats and do well in all formats. He puts me under pressure in practice sessions so I can learn how to handle pressure in matches. He keeps challenging me because he believes I have the capability. That backing means a lot to me.”Looking ahead to the second ODI in Raipur on Wednesday, Varma remains determined to make the most of future chances.“Whatever opportunities I get against South Africa, I want to finish those matches. I want to prove myself in ODIs and Tests too. I’m challenging myself to perform in the longer formats and grow as an individual player.”","India edged past South Africa by 17 runs in a tightly contested first ODI at the JSCA International Stadium Complex, taking a 1-0 lead in the three-match series. The hosts posted a formidable 398/8 after Virat Kohli’s century and half- centuries from Rohit Sharma and KL Rahul, before bowling out South Africa for 332.","https://static.toiimg.com/thumb/msid-125719641,imgsize-39930,width-400,resizemode-4/tilak-varma-0212-sds.jpg"
